Kelompok;Tahun;Jenjang;Persentase
Kuintil 1;2019;SD;1.57
Kuintil 1;2020;SD;1.07
Kuintil 1;2021;SD;1.14
Kuintil 1;2019;SMP;11.47
Kuintil 1;2020;SMP;12.04
Kuintil 1;2021;SMP;10.91
Kuintil 1;2019;SMA;34.46
Kuintil 1;2020;SMA;34.6
Kuintil 1;2021;SMA;31.39
Kuintil 2;2019;SD;0.75
Kuintil 2;2020;SD;0.57
Kuintil 2;2021;SD;0.63
Kuintil 2;2019;SMP;7.54
Kuintil 2;2020;SMP;7.96
Kuintil 2;2021;SMP;7.02
Kuintil 2;2019;SMA;28.68
Kuintil 2;2020;SMA;26.11
Kuintil 2;2021;SMA;25.21
Kuintil 3;2019;SD;0.71
Kuintil 3;2020;SD;0.49
Kuintil 3;2021;SD;0.48
Kuintil 3;2019;SMP;6.05
Kuintil 3;2020;SMP;6.36
Kuintil 3;2021;SMP;5.52
Kuintil 3;2019;SMA;23.01
Kuintil 3;2020;SMA;21.14
Kuintil 3;2021;SMA;20.23
Kuintil 4;2019;SD;0.57
Kuintil 4;2020;SD;0.48
Kuintil 4;2021;SD;0.41
Kuintil 4;2019;SMP;4.83
Kuintil 4;2020;SMP;5.32
Kuintil 4;2021;SMP;5.26
Kuintil 4;2019;SMA;20.21
Kuintil 4;2020;SMA;17.93
Kuintil 4;2021;SMA;17.67
Kuintil 5;2019;SD;0.38
Kuintil 5;2020;SD;0.35
Kuintil 5;2021;SD;0.44
Kuintil 5;2019;SMP;3.47
Kuintil 5;2020;SMP;3.43
Kuintil 5;2021;SMP;4.2
Kuintil 5;2019;SMA;12.76
Kuintil 5;2020;SMA;12.03
Kuintil 5;2021;SMA;12.43
